iter	Passed	Remaining
761	1154	360
762	1155	358
763	1156	357
764	1158	355
765	1159	354
766	1161	352
767	1162	351
768	1163	349
769	1165	348
770	1166	346
771	1168	344
772	1169	343
773	1170	341
774	1171	340
775	1173	338
776	1174	337
777	1175	335
778	1177	333
779	1178	332
780	1180	330
781	1181	329
782	1183	327
783	1185	326
784	1186	324
785	1187	323
786	1189	321
787	1190	320
788	1191	318
789	1193	317
790	1194	315
791	1196	314
792	1197	312
793	1198	311
794	1200	309
795	1201	308
796	1203	306
797	1204	304
798	1205	303
799	1207	301
800	1208	300
801	1210	298
802	1211	297
803	1213	295
804	1214	294
805	1215	292
806	1217	291
807	1218	289
808	1219	287
809	1220	286
810	1222	284
811	1223	283
812	1224	281
813	1226	280
814	1227	278
815	1228	277
816	1230	275
817	1231	274
818	1232	272
819	1234	270
820	1235	269
821	1236	267
822	1237	266
823	1239	264
824	1241	263
825	1242	261
826	1246	260
827	1247	259
828	1248	257
829	1249	256
830	1251	254
831	1252	252
832	1253	251
833	1255	249
834	1257	248
835	1258	246
836	1259	245
837	1260	243
838	1262	242
839	1263	240
840	1265	239
841	1266	237
842	1267	236
843	1269	234
844	1271	233
845	1273	231
846	1274	230
847	1276	228
848	1277	227
849	1278	225
850	1279	224
851	1281	222
852	1282	221
853	1283	219
854	1285	217
855	1286	216
856	1288	214
857	1289	213
858	1291	211
859	1292	210
860	1293	208
861	1295	207
862	1296	205
863	1297	204
864	1298	202
865	1300	201
866	1302	199
867	1303	198
868	1304	196
869	1305	195
870	1307	193
871	1308	192
872	1309	190
873	1310	188
874	1311	187
875	1313	185
876	1314	184
877	1315	182
878	1317	181
879	1318	179
880	1319	178
881	1320	176
882	1322	175
883	1323	173
884	1324	172
885	1325	170
886	1326	169
887	1327	167
888	1329	165
889	1330	164
890	1332	163
891	1333	161
892	1335	159
893	1336	158
894	1337	156
895	1338	155
896	1340	153
897	1341	152
898	1342	150
899	1343	149
900	1344	147
901	1346	146
902	1347	144
903	1349	143
904	1350	141
905	1351	140
906	1352	138
907	1354	137
908	1355	135
909	1356	134
910	1357	132
911	1358	131
912	1360	129
913	1361	128
914	1363	126
915	1364	125
916	1365	123
917	1366	122
918	1367	120
919	1368	119
920	1370	117
921	1371	116
922	1372	114
923	1373	112
924	1374	111
925	1376	109
926	1377	108
927	1379	107
928	1380	105
929	1381	103
930	1382	102
931	1383	100
932	1385	99
933	1386	97
934	1387	96
935	1388	94
936	1390	93
937	1391	91
938	1393	90
939	1394	89
940	1395	87
941	1396	85
942	1397	84
943	1398	82
